0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/DoIndex HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/index.jsp HTTP/1.1" 200 16545
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/img/lunbo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/img/lunbo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/img/ad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/img/lunbo3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:44 +0800] "GET /WebDemo4/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:53 +0800] "GET /WebDemo4/DoProduct?category=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:55 +0800] "GET /WebDemo4/product.jsp HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:56 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:56 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:56 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:56 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:56 +0800] "GET /WebDemo4/css/info.css HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:56 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:56 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:56 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:58 +0800] "GET /WebDemo4/DoProduct?flag=up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:58 +0800] "GET /WebDemo4/product.jsp HTTP/1.1" 200 6258
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:58 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:58 +0800] "GET /WebDemo4/css/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:58 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:58 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:58 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:58 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:58 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:58 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:59 +0800] "GET /WebDemo4/DoProduct?flag=up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:59 +0800] "GET /WebDemo4/product.jsp HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:59 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:59 +0800] "GET /WebDemo4/css/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:59 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:59 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:59 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:59 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:59 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:59 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/DoProduct?flag=up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/product.jsp HTTP/1.1" 200 6258
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/css/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/DoProduct?flag=up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/product.jsp HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/css/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:00 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:01 +0800] "GET /WebDemo4/DoProduct?flag=up HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:01 +0800] "GET /WebDemo4/product.jsp HTTP/1.1" 200 6258
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:01 +0800] "GET /WebDemo4/css/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:01 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:01 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:01 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:01 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:01 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:01 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:01 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:05 +0800] "GET /WebDemo4/register.jsp HTTP/1.1" 200 9195
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:05 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:05 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:05 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:05 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:05 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:05 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:05 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:05 +0800] "GET /WebDemo4/css/register.css HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:07 +0800] "GET /WebDemo4/login.jsp HTTP/1.1" 200 7180
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:07 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:07 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:07 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:07 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:07 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:07 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:07 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:09 +0800] "GET /WebDemo4/register.jsp HTTP/1.1" 200 9195
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:09 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:09 +0800] "GET /WebDemo4/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:09 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:09 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:09 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:09 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:09 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:36:09 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:08 +0800] "GET /WebDemo4/register.jsp HTTP/1.1" 200 9200
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:08 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:08 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:08 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:08 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:08 +0800] "GET /WebDemo4/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:08 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:08 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:08 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:10 +0800] "GET /WebDemo4/Docart HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:34 +0800] "GET /WebDemo4/register.jsp HTTP/1.1" 200 9200
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:34 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:34 +0800] "GET /WebDemo4/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:34 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:34 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:34 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:34 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:34 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:34 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:35 +0800] "GET /WebDemo4/Docart HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:37:41 +0800] "GET /WebDemo4/DoIndex HTTP/1.1" 302 -
